SubRegion,Region
Confluence,Confluence
Lower Sacramento River,Confluence
Lower San Joaquin River,Confluence
Sacramento River near Rio Vista,Confluence
San Joaquin River at Prisoners Pt,Confluence
San Joaquin River at Twitchell Island,Confluence
Cache Slough and Lindsey Slough,North
Liberty Island,North
Lower Cache Slough,North
Lower Sacramento River Ship Channel,North
Middle Sacramento River,North
Sacramento River near Ryde,North
Steamboat and Miner Slough,North
Upper Mokelumne River,North
Upper Sacramento River Ship Channel,North
Disappointment Slough,SouthCentral
Franks Tract,SouthCentral
Grant Line Canal and Old River,SouthCentral
Holland Cut,SouthCentral
Lower Mokelumne River,SouthCentral
Middle River,SouthCentral
Mildred Island,SouthCentral
Old River,SouthCentral
San Joaquin River near Stockton,SouthCentral
Upper San Joaquin River,SouthCentral
Victoria Canal,SouthCentral
Grizzly Bay,Suisun Bay
Honker Bay,Suisun Bay
Mid Suisun Bay,Suisun Bay
West Suisun Bay,Suisun Bay
Suisun Marsh,Suisun Marsh
