Source,Station,Latitude,Longitude
EMP,EMP EZ2,38.0922,-121.7357
EMP,EMP EZ2,38.0933,-121.7368
EMP,EMP EZ2,38.0913,-121.7393
EMP,EMP EZ2,38.0518,-121.8807
EMP,EMP EZ2,38.049,-121.9153
EMP,EMP EZ2,38.0548,-121.8723
EMP,EMP EZ2,38.0603,-121.8
EMP,EMP EZ2,38.0584,-121.8051
EMP,EMP EZ2,38.0612,-121.8128
EMP,EMP EZ2,38.0825,-121.7535
EMP,EMP EZ2,38.0972,-121.7293
EMP,EMP EZ2,38.0995,-121.7293
EMP,EMP EZ2,38.0972,-121.7318
EMP,EMP EZ2,38.1197,-121.7018
EMP,EMP EZ2,38.1168,-121.7037
EMP,EMP EZ2,38.0985,-121.7302
EMP,EMP EZ2,38.065,-121.8375
EMP,EMP EZ2,38.0502,-121.8807
EMP,EMP EZ2,38.0517,-121.877
EMP,EMP EZ2,38.061,-121.865
EMP,EMP EZ2,38.061,-121.7992
EMP,EMP EZ2,38.071,-121.7775
EMP,EMP EZ2,38.1002,-121.7257
EMP,EMP EZ2,38.0942,-121.7357
EMP,EMP EZ2,38.1257,-121.6968
EMP,EMP EZ2,38.088,-121.7432
EMP,EMP EZ2,38.0697,-121.9908
EMP,EMP EZ2,38.0485,-121.8882
EMP,EMP EZ2,38.059,-121.967
EMP,EMP EZ2,38.0588,-121.9673
EMP,EMP EZ2,38.0783,-121.7633
EMP,EMP EZ2,38.1017,-121.7225
EMP,EMP EZ2,38.0608,-121.814
EMP,EMP EZ2,38.0533,-121.8743
EMP,EMP EZ2,38.0668,-121.7902
EMP,EMP EZ2,38.0532,-121.9465
EMP,EMP EZ2,38.041,-122.115
EMP,EMP EZ2,38.0595,-122.0702
EMP,EMP EZ2,38.064,-122.0317
EMP,EMP EZ2,38.066,-122.0432
EMP,EMP EZ2,38.0623,-121.861
EMP,EMP EZ2,38.0549,-121.8742
EMP,EMP EZ2,38.0603,-121.8048
EMP,EMP EZ2,38.0678,-121.7833
EMP,EMP EZ2,38.0519,-121.9357
EMP,EMP EZ2,38.0579,-121.9629
EMP,EMP EZ2,38.0669,-121.7842
EMP,EMP EZ2,38.0752,-121.769
EMP,EMP EZ2,38.1179,-121.7027
EMP,EMP EZ2,38.0622,-121.8146
EMP,EMP EZ2,38.0633,-121.8613
EMP,EMP EZ2,38.0612,-121.8191
EMP,EMP EZ2,38.0659,-121.7794
EMP,EMP EZ2,38.0642,-121.8302
EMP,EMP EZ2,38.0605,-121.8059
EMP,EMP EZ2,38.0643,-121.7913
EMP,EMP EZ2,38.0688,-121.7802
EMP,EMP EZ2,38.0807,-121.7607
EMP,EMP EZ2,38.0998,-121.7283
EMP,EMP EZ2,38.1192,-121.7017
EMP,EMP EZ2,38.119,-121.702
EMP,EMP EZ2,38.1397,-121.6908
