model,contrast type,contrast,estimate,SE,df,t-ratio,p-value
Temperature,region,D Suisun Marsh - N Suisun Marsh,-0.09891402827171036,0.1423275789828009,900,-0.6949744313690834,1
Temperature,region,D Suisun Marsh - W Suisun Marsh,0.2621263774782228,0.1512523577786325,900,1.7330399428342238,0.9225
Temperature,region,D Suisun Marsh - D Suisun Bay,0.18262242491497782,0.12746183765270527,900,1.4327615879238174,0.9842
Temperature,region,D Suisun Marsh - N Suisun Bay,0.404433837180648,0.14232757898280213,900,2.841570411518888,0.2267
Temperature,region,D Suisun Marsh - W Suisun Bay,0.6319663585356212,0.14920606415208695,900,4.235527303310224,0.0023
Temperature,region,D Suisun Marsh - D Confluence,-0.058356552312513466,0.12746183765270588,900,-0.45783548540636165,1
Temperature,region,D Suisun Marsh - N Confluence,0.1414310444926865,0.14232757898280252,900,0.9937009081688635,0.9997
Temperature,region,D Suisun Marsh - W Confluence,0.4789010941340024,0.14920606415208792,900,3.2096624011598585,0.0885
Temperature,region,D Suisun Marsh - D SouthCentral,-1.190662865334115,0.12746183765270575,900,-9.34132825370292,< 0.001
Temperature,region,D Suisun Marsh - N SouthCentral,-0.5219381416545728,0.14232757898280243,900,-3.6671609633550992,0.0207
Temperature,region,D Suisun Marsh - W SouthCentral,-0.24680272934433165,0.14920606415208762,900,-1.6541065589181585,0.9459
Temperature,region,D Suisun Marsh - D North,-0.007129834593924151,0.12746183765270594,900,-0.05593701397394524,1
Temperature,region,D Suisun Marsh - N North,0.9172084518494289,0.1423275789828023,900,6.444348020282541,< 0.001
Temperature,region,D Suisun Marsh - W North,1.5550807870346461,0.1492060641520873,900,10.422369867283251,< 0.001
Temperature,region,N Suisun Marsh - W Suisun Marsh,0.3610404057499332,0.16337169163378226,900,2.209932468344942,0.6577
Temperature,region,N Suisun Marsh - D Suisun Bay,0.2815364531866882,0.14160896301614045,900,1.988125943374071,0.8052
Temperature,region,N Suisun Marsh - N Suisun Bay,0.5033478654523583,0.15512484677771132,900,3.244792023379974,0.08
Temperature,region,N Suisun Marsh - W Suisun Bay,0.7308803868073316,0.16145905960477658,900,4.526722678779366,< 0.001
Temperature,region,N Suisun Marsh - D Confluence,0.0405574759591969,0.14160896301614068,900,0.28640472393385247,1
Temperature,region,N Suisun Marsh - N Confluence,0.24034507276439687,0.1551248467777111,900,1.5493654160303771,0.9684
Temperature,region,N Suisun Marsh - W Confluence,0.5778151224057128,0.16145905960477622,900,3.5787098216730855,0.028
Temperature,region,N Suisun Marsh - D SouthCentral,-1.0917488370624044,0.1416089630161408,900,-7.709602653738559,< 0.001
Temperature,region,N Suisun Marsh - N SouthCentral,-0.42302411338286244,0.15512484677771093,900,-2.7269913374292822,0.2901
Temperature,region,N Suisun Marsh - W SouthCentral,-0.14788870107262128,0.16145905960477655,900,-0.9159517058666566,0.9999
Temperature,region,N Suisun Marsh - D North,0.09178419367778622,0.1416089630161407,900,0.6481524313353285,1
Temperature,region,N Suisun Marsh - N North,1.0161224801211393,0.15512484677771088,900,6.550352836623339,< 0.001
Temperature,region,N Suisun Marsh - W North,1.6539948153063566,0.16145905960477613,900,10.244050840845041,< 0.001
Temperature,region,W Suisun Marsh - D Suisun Bay,-0.07950395256324501,0.150597775368637,900,-0.5279224900144325,1
Temperature,region,W Suisun Marsh - N Suisun Bay,0.1423074597024252,0.16337169163378337,900,0.8710655945304399,0.9999
Temperature,region,W Suisun Marsh - W Suisun Bay,0.3698399810573984,0.16939781423600053,900,2.183263005638002,0.6769
Temperature,region,W Suisun Marsh - D Confluence,-0.3204829297907363,0.15059777536863775,900,-2.128072137893462,0.7158
Temperature,region,W Suisun Marsh - N Confluence,-0.12069533298553631,0.16337169163378334,900,-0.7387775187888055,1
Temperature,region,W Suisun Marsh - W Confluence,0.21677471665577958,0.16939781423600034,900,1.2796783573238735,0.9947
Temperature,region,W Suisun Marsh - D SouthCentral,-1.4527892428123377,0.15059777536863736,900,-9.646817419820183,< 0.001
Temperature,region,W Suisun Marsh - N SouthCentral,-0.7840645191327956,0.16337169163378318,900,-4.799267922684967,< 0.001
Temperature,region,W Suisun Marsh - W SouthCentral,-0.5089291068225544,0.16939781423600064,900,-3.0043428194033694,0.1537
