Model,Contrast type,Group,Contrast,Estimate,SE,DF,t-ratio,p-value
Ammonium,region,Suisun Bay,D - N,0.1581ZZZ,0.06972ZZZ,661,2.268ZZZ,0.06110ZZZ
Ammonium,region,Suisun Bay,D - W,0.1978ZZZ,0.07686ZZZ,661,2.574ZZZ,0.02770ZZZ
Ammonium,region,Suisun Bay,N - W,0.03969ZZZ,0.07808ZZZ,661,0.5084ZZZ,0.8673ZZZ
Ammonium,region,Confluence,D - N,0.1002ZZZ,0.07002ZZZ,661,1.431ZZZ,0.3254ZZZ
Ammonium,region,Confluence,D - W,0.2014ZZZ,0.07687ZZZ,661,2.620ZZZ,0.02436ZZZ
Ammonium,region,Confluence,N - W,0.1012ZZZ,0.07846ZZZ,661,1.290ZZZ,0.4014ZZZ
Ammonium,region,South-Central,D - N,0.1095ZZZ,0.07240ZZZ,661,1.512ZZZ,0.2858ZZZ
Ammonium,region,South-Central,D - W,-0.001234ZZZ,0.08048ZZZ,661,-0.01534ZZZ,0.9999ZZZ
Ammonium,region,South-Central,N - W,-0.1107ZZZ,0.08061ZZZ,661,-1.373ZZZ,0.3554ZZZ
Ammonium,region,North,D - N,0.3726ZZZ,0.07240ZZZ,661,5.146ZZZ,< 0.001ZZZ
Ammonium,region,North,D - W,0.8551ZZZ,0.08048ZZZ,661,10.62ZZZ,< 0.001ZZZ
Ammonium,region,North,N - W,0.4825ZZZ,0.08061ZZZ,661,5.985ZZZ,< 0.001ZZZ
Ammonium,season,Winter,D - N,0.1527ZZZ,0.07021ZZZ,661,2.175ZZZ,0.07622ZZZ
Ammonium,season,Winter,D - W,0.4626ZZZ,0.07472ZZZ,661,6.191ZZZ,< 0.001ZZZ
Ammonium,season,Winter,N - W,0.3099ZZZ,0.07797ZZZ,661,3.974ZZZ,< 0.001ZZZ
Ammonium,season,Spring,D - N,0.4200ZZZ,0.06969ZZZ,661,6.028ZZZ,< 0.001ZZZ
Ammonium,season,Spring,D - W,0.6242ZZZ,0.07380ZZZ,661,8.458ZZZ,< 0.001ZZZ
Ammonium,season,Spring,N - W,0.2041ZZZ,0.07832ZZZ,661,2.606ZZZ,0.02533ZZZ
Ammonium,season,Summer,D - N,0.1213ZZZ,0.06969ZZZ,661,1.741ZZZ,0.1907ZZZ
Ammonium,season,Summer,D - W,0.05247ZZZ,0.07477ZZZ,661,0.7017ZZZ,0.7626ZZZ
