Model,Contrast type,Group,Contrast,Estimate,SE,DF,t-ratio,p-value
Ammonium,season,Summer,N - W,-0.06888ZZZ,0.07924ZZZ,661,-0.8692ZZZ,0.6599ZZZ
Ammonium,season,Fall,D - N,0.04632ZZZ,0.06969ZZZ,661,0.6647ZZZ,0.7841ZZZ
Ammonium,season,Fall,D - W,0.1138ZZZ,0.07380ZZZ,661,1.542ZZZ,0.2719ZZZ
Ammonium,season,Fall,N - W,0.06750ZZZ,0.07832ZZZ,661,0.8618ZZZ,0.6646ZZZ
Nitrate + Nitrite,region,Suisun Bay,D - N,0.3403ZZZ,0.05015ZZZ,718,6.785ZZZ,< 0.001ZZZ
Nitrate + Nitrite,region,Suisun Bay,D - W,0.3866ZZZ,0.05259ZZZ,718,7.352ZZZ,< 0.001ZZZ
Nitrate + Nitrite,region,Suisun Bay,N - W,0.04636ZZZ,0.05704ZZZ,718,0.8127ZZZ,0.6952ZZZ
Nitrate + Nitrite,region,Confluence,D - N,0.2687ZZZ,0.05015ZZZ,718,5.357ZZZ,< 0.001ZZZ
Nitrate + Nitrite,region,Confluence,D - W,0.3776ZZZ,0.05259ZZZ,718,7.180ZZZ,< 0.001ZZZ
Nitrate + Nitrite,region,Confluence,N - W,0.1089ZZZ,0.05704ZZZ,718,1.909ZZZ,0.1369ZZZ
Nitrate + Nitrite,region,South-Central,D - N,0.2018ZZZ,0.05003ZZZ,718,4.033ZZZ,< 0.001ZZZ
Nitrate + Nitrite,region,South-Central,D - W,0.1440ZZZ,0.05284ZZZ,718,2.726ZZZ,0.01803ZZZ
Nitrate + Nitrite,region,South-Central,N - W,-0.05774ZZZ,0.05738ZZZ,718,-1.006ZZZ,0.5731ZZZ
Nitrate + Nitrite,region,North,D - N,0.03813ZZZ,0.05003ZZZ,718,0.7621ZZZ,0.7264ZZZ
Nitrate + Nitrite,region,North,D - W,0.07453ZZZ,0.05284ZZZ,718,1.411ZZZ,0.3360ZZZ
Nitrate + Nitrite,region,North,N - W,0.03640ZZZ,0.05738ZZZ,718,0.6344ZZZ,0.8012ZZZ
Nitrate + Nitrite,season,Winter,D - N,0.01179ZZZ,0.05028ZZZ,718,0.2344ZZZ,0.9702ZZZ
Nitrate + Nitrite,season,Winter,D - W,0.09905ZZZ,0.05345ZZZ,718,1.853ZZZ,0.1533ZZZ
Nitrate + Nitrite,season,Winter,N - W,0.08727ZZZ,0.05772ZZZ,718,1.512ZZZ,0.2859ZZZ
Nitrate + Nitrite,season,Spring,D - N,0.2859ZZZ,0.05003ZZZ,718,5.714ZZZ,< 0.001ZZZ
Nitrate + Nitrite,season,Spring,D - W,0.3958ZZZ,0.05247ZZZ,718,7.542ZZZ,< 0.001ZZZ
Nitrate + Nitrite,season,Spring,N - W,0.1099ZZZ,0.05704ZZZ,718,1.926ZZZ,0.1320ZZZ
Nitrate + Nitrite,season,Summer,D - N,0.2871ZZZ,0.05003ZZZ,718,5.738ZZZ,< 0.001ZZZ
Nitrate + Nitrite,season,Summer,D - W,0.2420ZZZ,0.05247ZZZ,718,4.613ZZZ,< 0.001ZZZ
Nitrate + Nitrite,season,Summer,N - W,-0.04505ZZZ,0.05704ZZZ,718,-0.7898ZZZ,0.7094ZZZ
Nitrate + Nitrite,season,Fall,D - N,0.2641ZZZ,0.05003ZZZ,718,5.278ZZZ,< 0.001ZZZ
Nitrate + Nitrite,season,Fall,D - W,0.2459ZZZ,0.05247ZZZ,718,4.686ZZZ,< 0.001ZZZ
Nitrate + Nitrite,season,Fall,N - W,-0.01818ZZZ,0.05704ZZZ,718,-0.3187ZZZ,0.9456ZZZ
Ortho-phosphate,region,Suisun Bay,D - N,0.1893ZZZ,0.05286ZZZ,720,3.582ZZZ,0.001061ZZZ
Ortho-phosphate,region,Suisun Bay,D - W,0.3951ZZZ,0.05543ZZZ,720,7.127ZZZ,< 0.001ZZZ
Ortho-phosphate,region,Suisun Bay,N - W,0.2057ZZZ,0.06012ZZZ,720,3.422ZZZ,0.001898ZZZ
Ortho-phosphate,region,Confluence,D - N,0.1676ZZZ,0.05286ZZZ,720,3.170ZZZ,0.004526ZZZ
Ortho-phosphate,region,Confluence,D - W,0.4314ZZZ,0.05543ZZZ,720,7.783ZZZ,< 0.001ZZZ
Ortho-phosphate,region,Confluence,N - W,0.2638ZZZ,0.06012ZZZ,720,4.388ZZZ,< 0.001ZZZ
Ortho-phosphate,region,South-Central,D - N,0.07355ZZZ,0.05273ZZZ,720,1.395ZZZ,0.3442ZZZ
Ortho-phosphate,region,South-Central,D - W,0.2308ZZZ,0.05531ZZZ,720,4.173ZZZ,< 0.001ZZZ
Ortho-phosphate,region,South-Central,N - W,0.1572ZZZ,0.06012ZZZ,720,2.615ZZZ,0.02468ZZZ
Ortho-phosphate,region,North,D - N,0.09438ZZZ,0.05273ZZZ,720,1.790ZZZ,0.1737ZZZ
Ortho-phosphate,region,North,D - W,0.4883ZZZ,0.05531ZZZ,720,8.829ZZZ,< 0.001ZZZ
Ortho-phosphate,region,North,N - W,0.3939ZZZ,0.06012ZZZ,720,6.551ZZZ,< 0.001ZZZ
Ortho-phosphate,season,Winter,D - N,-0.02596ZZZ,0.05299ZZZ,720,-0.4899ZZZ,0.8761ZZZ
Ortho-phosphate,season,Winter,D - W,0.2565ZZZ,0.05555ZZZ,720,4.618ZZZ,< 0.001ZZZ
Ortho-phosphate,season,Winter,N - W,0.2825ZZZ,0.06012ZZZ,720,4.699ZZZ,< 0.001ZZZ
Ortho-phosphate,season,Spring,D - N,0.2421ZZZ,0.05273ZZZ,720,4.591ZZZ,< 0.001ZZZ
Ortho-phosphate,season,Spring,D - W,0.4844ZZZ,0.05531ZZZ,720,8.758ZZZ,< 0.001ZZZ
Ortho-phosphate,season,Spring,N - W,0.2423ZZZ,0.06012ZZZ,720,4.030ZZZ,< 0.001ZZZ
Ortho-phosphate,season,Summer,D - N,0.1669ZZZ,0.05273ZZZ,720,3.165ZZZ,0.004595ZZZ
Ortho-phosphate,season,Summer,D - W,0.4006ZZZ,0.05531ZZZ,720,7.244ZZZ,< 0.001ZZZ
Ortho-phosphate,season,Summer,N - W,0.2337ZZZ,0.06012ZZZ,720,3.887ZZZ,< 0.001ZZZ
Ortho-phosphate,season,Fall,D - N,0.1418ZZZ,0.05273ZZZ,720,2.689ZZZ,0.02005ZZZ
Ortho-phosphate,season,Fall,D - W,0.4039ZZZ,0.05531ZZZ,720,7.304ZZZ,< 0.001ZZZ
Ortho-phosphate,season,Fall,N - W,0.2622ZZZ,0.06012ZZZ,720,4.360ZZZ,< 0.001ZZZ
Chlorophyll,region,Suisun Bay,D - N,-0.1670ZZZ,0.08924ZZZ,717,-1.871ZZZ,0.1479ZZZ
Chlorophyll,region,Suisun Bay,D - W,-0.02291ZZZ,0.09153ZZZ,717,-0.2504ZZZ,0.9660ZZZ
Chlorophyll,region,Suisun Bay,N - W,0.1440ZZZ,0.09809ZZZ,717,1.468ZZZ,0.3068ZZZ
Chlorophyll,region,Confluence,D - N,0.1335ZZZ,0.08907ZZZ,717,1.499ZZZ,0.2921ZZZ
Chlorophyll,region,Confluence,D - W,0.2350ZZZ,0.09135ZZZ,717,2.572ZZZ,0.02781ZZZ
Chlorophyll,region,Confluence,N - W,0.1015ZZZ,0.09809ZZZ,717,1.034ZZZ,0.5554ZZZ
Chlorophyll,region,South-Central,D - N,0.4359ZZZ,0.08907ZZZ,717,4.894ZZZ,< 0.001ZZZ
Chlorophyll,region,South-Central,D - W,0.6325ZZZ,0.09135ZZZ,717,6.923ZZZ,< 0.001ZZZ
Chlorophyll,region,South-Central,N - W,0.1965ZZZ,0.09809ZZZ,717,2.004ZZZ,0.1120ZZZ
Chlorophyll,region,North,D - N,-0.01380ZZZ,0.08907ZZZ,717,-0.1549ZZZ,0.9869ZZZ
Chlorophyll,region,North,D - W,0.01064ZZZ,0.09135ZZZ,717,0.1165ZZZ,0.9925ZZZ
Chlorophyll,region,North,N - W,0.02444ZZZ,0.09809ZZZ,717,0.2491ZZZ,0.9664ZZZ
Chlorophyll,season,Winter,D - N,0.3707ZZZ,0.08679ZZZ,717,4.272ZZZ,< 0.001ZZZ
Chlorophyll,season,Winter,D - W,0.4888ZZZ,0.09048ZZZ,717,5.402ZZZ,< 0.001ZZZ
Chlorophyll,season,Winter,N - W,0.1181ZZZ,0.09784ZZZ,717,1.207ZZZ,0.4495ZZZ
Chlorophyll,season,Spring,D - N,0.1456ZZZ,0.08659ZZZ,717,1.682ZZZ,0.2128ZZZ
Chlorophyll,season,Spring,D - W,0.2638ZZZ,0.09029ZZZ,717,2.922ZZZ,0.01002ZZZ
Chlorophyll,season,Spring,N - W,0.1182ZZZ,0.09784ZZZ,717,1.208ZZZ,0.4488ZZZ
Chlorophyll,season,Summer,D - N,-0.09952ZZZ,0.08659ZZZ,717,-1.149ZZZ,0.4840ZZZ
Chlorophyll,season,Summer,D - W,0.1364ZZZ,0.09029ZZZ,717,1.511ZZZ,0.2863ZZZ
Chlorophyll,season,Summer,N - W,0.2359ZZZ,0.09784ZZZ,717,2.411ZZZ,0.04261ZZZ
Chlorophyll,season,Fall,D - N,-0.02819ZZZ,0.08659ZZZ,717,-0.3255ZZZ,0.9433ZZZ
Chlorophyll,season,Fall,D - W,-0.03394ZZZ,0.09029ZZZ,717,-0.3759ZZZ,0.9251ZZZ
Chlorophyll,season,Fall,N - W,-0.005748ZZZ,0.09784ZZZ,717,-0.05874ZZZ,0.9981ZZZ
