Y,Year,Month,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORT,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVE,EFFECT,EFFD
W,1969,10,10/1/1969,16900,18,0,785,114,4670,5569,22487,120,167,2530,0,2817,2150,0,0,2150,7041,8396,9275,17520,0.12,22,19129,8
W,1969,10,10/2/1969,16600,18,0,790,114,4420,5324,21942,119,138,2600,0,2857,2100,0,0,2100,6953,8055,9077,16985,0.12,23,18754,9
W,1969,10,10/3/1969,16100,19,0,799,114,4360,5273,21392,114,198,2730,0,3042,2050,0,0,2050,6807,7706,8738,16300,0.14,24,18251,11
W,1969,10,10/4/1969,15600,18,0,834,114,4460,5408,21026,114,167,3170,0,3451,2050,0,0,2050,6660,7284,8384,15525,0.16,26,17820,13
W,1969,10,10/5/1969,15500,16,0,826,114,4560,5500,21016,120,168,4140,0,4428,2000,0,0,2000,6631,6403,8325,14588,0.2,31,16456,11
W,1969,10,10/6/1969,15300,16,0,826,114,4620,5560,20876,113,415,3100,0,3628,2000,0,0,2000,6572,7204,8184,15248,0.17,27,17573,13
W,1969,10,10/7/1969,15000,18,0,836,114,4590,5540,20558,110,413,2880,0,3403,1950,0,0,1950,6485,7355,7987,15205,0.16,26,17282,12
W,1969,10,10/8/1969,14800,19,0,807,114,4490,5411,20230,114,403,2460,0,2977,1950,0,0,1950,6426,7593,7847,15303,0.14,24,17019,10
W,1969,10,10/9/1969,14800,18,0,833,114,4110,5057,19875,119,417,2050,0,2586,1950,0,0,1950,6426,7630,7846,15339,0.12,23,16911,9
W,1969,10,10/10/1969,14700,23,0,822,114,3770,4706,19429,117,576,2050,0,2743,1900,0,0,1900,6397,7125,7794,14786,0.14,24,16694,11
W,1969,10,10/11/1969,15300,120,0,812,114,3620,4546,19966,96,761,1860,0,2717,1900,0,0,1900,6572,7166,8316,15349,0.13,23,17328,11
W,1969,10,10/12/1969,15800,70,0,814,114,3470,4398,20268,98,61,1900,0,2059,1900,0,0,1900,6719,7823,8619,16309,0.1,20,17728,8
W,1969,10,10/13/1969,16100,36,0,816,114,3400,4330,20466,106,137,1910,0,2153,1900,0,0,1900,6807,7749,8797,16413,0.1,20,17971,9
W,1969,10,10/14/1969,16400,32,0,810,114,3340,4264,20696,107,199,2030,0,2336,1850,0,0,1850,6895,7621,9019,16510,0.11,20,18248,10
W,1969,10,10/15/1969,16400,31,0,915,114,3730,4759,21190,103,215,2030,0,2348,1850,1861,0,-11,6895,9313,9539,18853,0.11,11,18767,0
W,1969,10,10/16/1969,17100,30,2,915,114,4230,5261,22391,95,125,1660,0,1880,1850,5769,0,-3919,7100,13029,11127,24430,0.08,-9,20229,-21
W,1969,10,10/17/1969,17800,25,111,906,114,4360,5491,23316,97,136,1590,0,1823,1850,6265,0,-4415,7305,13843,11756,25908,0.07,-11,21144,-23
W,1969,10,10/18/1969,18500,23,140,902,114,4270,5426,23949,100,137,1410,0,1647,1800,6699,0,-4899,7510,14473,12385,27201,0.06,-14,21908,-24
W,1969,10,10/19/1969,18700,13,92,902,114,4420,5528,24241,91,69,1330,0,1490,1800,6699,0,-4899,7569,14791,12516,27650,0.06,-14,22103,-25
W,1969,10,10/20/1969,18300,12,71,919,114,4440,5544,23856,99,417,1330,0,1846,1800,4838,0,-3038,7451,13123,11712,25048,0.07,-5,21426,-17
W,1969,10,10/21/1969,17900,10,46,910,114,4420,5490,23400,102,419,1110,0,1631,1800,930,0,870,7334,10628,10332,20899,0.07,11,20397,-2
W,1969,10,10/22/1969,17600,10,38,1100,114,4640,5892,23502,102,417,975,0,1494,1800,434,0,1366,7246,10756,9982,20642,0.06,12,20281,-2
W,1969,10,10/23/1969,17500,10,30,1120,114,4760,6024,23534,97,419,434,0,950,1750,0,0,1750,7217,11154,9803,20834,0.04,11,20178,-3
W,1969,10,10/24/1969,17400,11,27,1120,114,4890,6151,23562,90,419,433,0,942,1750,0,0,1750,7188,11260,9733,20870,0.04,11,20121,-4
W,1969,10,10/25/1969,17400,17,26,1130,114,5060,6330,23747,95,139,433,0,667,1750,0,0,1750,7188,11714,9739,21330,0.02,10,20196,-6
W,1969,10,10/26/1969,17300,33,24,1130,114,5220,6488,23821,93,122,416,0,631,1750,0,0,1750,7158,11878,9685,21440,0.02,10,20166,-6
W,1969,10,10/27/1969,17300,39,23,1130,114,5320,6587,23926,94,269,434,0,797,1750,0,0,1750,7158,11810,9691,21379,0.03,11,20206,-6
W,1969,10,10/28/1969,17400,28,23,1190,114,5310,6637,24065,88,271,433,0,792,1750,0,0,1750,7188,11895,9750,21523,0.03,11,20351,-6
W,1969,10,10/29/1969,17400,11,22,1350,114,5290,6776,24187,104,274,433,0,811,1700,0,0,1700,7188,12048,9747,21676,0.03,10,20494,-6
W,1969,10,10/30/1969,17300,10,21,1360,114,5100,6595,23905,100,241,324,0,665,1700,0,0,1700,7158,11983,9676,21540,0.02,10,20335,-6
W,1969,10,10/31/1969,17300,10,21,1260,114,4980,6375,23685,119,147,325,0,591,1700,0,0,1700,7158,11837,9676,21394,0.02,10,20193,-6
W,1969,11,11/1/1969,17200,10,20,865,0,4920,5805,23015,62,152,323,0,537,1700,0,0,1700,7129,11292,9605,20778,0.02,10,19562,-6
W,1969,11,11/2/1969,17200,10,19,488,0,4890,5397,22607,71,1779,324,0,2174,1700,0,0,1700,7129,9247,9605,18733,0.09,17,19174,2
W,1969,11,11/3/1969,17200,10,28,216,0,4880,5124,22334,109,660,323,0,1092,1700,0,0,1700,7129,10056,9605,19542,0.04,13,18907,-3
W,1969,11,11/4/1969,17100,9,21,123,0,4730,4874,21983,94,666,323,0,1083,1700,0,0,1700,7100,9786,9533,19200,0.04,13,18654,-3
W,1969,11,11/5/1969,17400,11,22,105,0,4670,4797,22208,91,668,321,0,1080,1700,2171,0,-471,7188,11212,10355,21599,0.04,3,19243,-12
W,1969,11,11/6/1969,17600,12,39,95,0,4830,4964,22576,91,666,722,0,1479,1700,4404,0,-2704,7246,12489,11123,23801,0.06,-5,19842,-20
W,1969,11,11/7/1969,18400,10,235,209,0,5030,5474,23884,93,761,576,0,1430,1700,4404,0,-2704,7481,13283,11686,25158,0.06,-5,21020,-20
W,1969,11,11/8/1969,19100,12,140,352,0,5040,5532,24644,90,1115,397,0,1602,1650,4590,0,-2940,7686,13527,12249,25982,0.06,-5,21809,-19
W,1969,11,11/9/1969,19200,12,84,390,0,4970,5444,24656,93,1265,397,0,1755,1650,4590,0,-2940,7715,13315,12320,25841,0.07,-5,21867,-18
W,1969,11,11/10/1969,18900,11,64,391,0,4880,5335,24246,92,445,433,0,970,1650,2419,0,-769,7627,12492,11499,24045,0.04,1,21189,-13
W,1969,11,11/11/1969,18500,12,51,396,0,4860,5307,23819,99,260,361,0,720,1650,186,0,1464,7510,11146,10592,21635,0.03,9,20440,-6
W,1969,11,11/12/1969,18200,12,45,395,0,4890,5330,23542,88,235,360,0,683,1650,186,0,1464,7422,11117,10380,21395,0.03,9,20144,-6
W,1969,11,11/13/1969,17300,16,40,396,0,4850,5286,22602,92,356,505,0,953,1650,0,0,1650,7158,10418,9696,19999,0.04,12,19202,-4
W,1969,11,11/14/1969,16200,30,37,397,0,4910,5344,21574,94,354,578,0,1026,1650,0,0,1650,6836,10081,8932,18898,0.04,12,18135,-4
W,1969,11,11/15/1969,16100,21,36,396,0,5150,5582,21703,92,356,650,0,1098,1700,0,0,1700,6807,10186,8838,18905,0.05,13,18101,-4
W,1969,11,11/16/1969,17200,46,35,396,0,5100,5531,22777,88,356,0,0,444,1700,0,0,1700,7129,11111,9641,20633,0.02,9,19207,-7
W,1969,11,11/17/1969,17500,52,35,391,0,4850,5276,22828,88,489,72,0,649,1700,0,0,1700,7217,10739,9859,20479,0.02,10,19421,-5
W,1969,11,11/18/1969,17200,51,43,390,0,4400,4833,22084,94,487,215,0,796,1700,0,0,1700,7129,10061,9646,19588,0.03,11,18969,-3
W,1969,11,11/19/1969,16800,58,50,390,0,4300,4740,21598,90,490,286,0,866,1700,0,0,1700,7012,9781,9370,19032,0.04,12,18548,-3
W,1969,11,11/20/1969,16200,44,41,389,0,4280,4710,20954,93,489,286,0,868,1750,0,0,1750,6836,9540,8918,18336,0.04,12,17910,-2
W,1969,11,11/21/1969,15800,32,33,389,0,4250,4672,20504,74,500,359,0,933,1750,0,0,1750,6719,9320,8623,17821,0.04,13,17479,-2
W,1969,11,11/22/1969,15700,30,33,387,0,4210,4630,20360,61,578,360,0,999,1750,0,0,1750,6690,9183,8550,17611,0.05,14,17361,-1
W,1969,11,11/23/1969,15800,30,33,386,0,4230,4649,20479,68,713,323,0,1104,1750,0,0,1750,6719,9127,8621,17625,0.05,14,17467,-1
W,1969,11,11/24/1969,15800,21,35,382,0,4060,4477,20298,52,490,288,0,830,1750,0,0,1750,6719,9229,8612,17718,0.04,13,17397,-2
W,1969,11,11/25/1969,15800,15,32,382,0,3820,4234,20049,46,490,650,0,1186,1800,0,0,1800,6719,8597,8592,17063,0.06,15,17296,1
W,1969,11,11/26/1969,15800,14,30,380,0,4110,4520,20334,44,490,866,0,1400,1800,0,0,1800,6719,8669,8591,17134,0.07,16,17393,1
W,1969,11,11/27/1969,15700,10,28,380,0,4410,4818,20528,43,488,685,0,1216,1850,0,0,1850,6690,9090,8502,17462,0.06,15,17384,0
W,1969,11,11/28/1969,15800,7,28,378,0,4500,4906,20713,40,550,0,0,590,1900,0,0,1900,6719,9800,8556,18223,0.03,12,17503,-4
W,1969,11,11/29/1969,15700,6,28,377,0,4430,4835,20541,42,1035,0,0,1077,1900,0,0,1900,6690,9213,8484,17564,0.05,14,17377,-1
W,1969,11,11/30/1969,15800,6,27,376,0,4380,4783,20589,71,1443,0,0,1514,1950,0,0,1950,6719,8720,8541,17125,0.07,17,17450,2
W,1969,12,12/1/1969,15800,6,3310,100,195,4360,7965,23771,91,656,0,0,747,2000,0,0,2000,6719,12637,8527,21024,0.03,12,20637,-2
W,1969,12,12/2/1969,15800,6,3380,100,195,4430,8105,23911,85,651,0,0,736,2000,0,0,2000,6719,12788,8527,21175,0.03,11,20732,-2
W,1969,12,12/3/1969,15900,6,3550,98,195,4650,8493,24399,90,653,0,0,743,2000,0,0,2000,6748,13198,8598,21656,0.03,11,21077,-3
W,1969,12,12/4/1969,15900,7,4100,97,195,4560,8952,24859,109,653,0,0,762,2050,0,0,2050,6748,13606,8585,22047,0.03,11,21588,-2
W,1969,12,12/5/1969,15900,9,4510,88,195,4390,9183,25092,105,628,0,0,733,2100,0,0,2100,6748,13833,8573,22259,0.03,11,21924,-2
W,1969,12,12/6/1969,15700,16,4660,88,195,4200,9143,24859,110,828,0,0,938,2100,0,0,2100,6690,13530,8438,21821,0.03,12,21814,0
W,1969,12,12/7/1969,15600,11,4690,89,195,4080,9054,24665,108,706,0,0,814,2150,0,0,2150,6660,13503,8349,21701,0.03,12,21691,0
W,1969,12,12/8/1969,15700,10,4710,95,195,4020,9020,24730,106,296,0,0,402,2150,1116,0,1034,6690,14635,8730,23294,0.01,6,21962,-6
W,1969,12,12/9/1969,16300,9,4770,137,195,4010,9112,25421,95,386,0,0,481,2150,1116,0,1034,6865,14824,9154,23906,0.02,6,22659,-6
W,1969,12,12/10/1969,16800,6,0,123,195,4010,4328,21134,90,401,0,0,491,2200,1488,0,712,5092,8466,11515,19931,0.02,6,18421,-8
