Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
2020,10,2020-10-01,10500,40,12,102,97,526,737,11276,196,794,3835,75,4899,2106,0,0,2106,5610,79,4340,4271,0.41,62,10750,60,88.35
2020,10,2020-10-02,10300,39,11,109,124,512,756,11094,196,897,4307,101,5502,2064,0,0,2064,5620,-468,4141,3529,0.47,68,10582,67,88.37
2020,10,2020-10-03,10100,42,10,107,135,505,758,10899,190,695,4303,98,5286,2021,0,0,2021,5510,-332,4066,3592,0.46,67,10394,65,88.38
2020,10,2020-10-04,9880,42,10,107,100,638,855,10778,187,689,4298,95,5269,2027,0,0,2027,5340,-391,4015,3482,0.46,68,10140,66,88.42
2020,10,2020-10-05,9790,34,10,107,49,691,857,10681,152,690,4291,81,5214,1979,0,0,1979,5230,-414,4040,3488,0.46,67,9990,65,88.45
2020,10,2020-10-06,9500,33,10,129,25,666,831,10364,148,295,4288,72,4804,1969,0,0,1969,5170,-83,3811,3591,0.44,65,9698,63,88.46
2020,10,2020-10-07,9110,34,10,371,25,653,1060,10203,152,290,3421,87,3949,1921,0,0,1921,4970,831,3636,4333,0.36,58,9550,55,88.34
2020,10,2020-10-08,9220,34,10,278,25,635,949,10203,153,792,3408,75,4426,1918,0,0,1918,4790,66,3927,3858,0.41,62,9568,60,88.31
2020,10,2020-10-09,9140,34,11,112,26,656,805,9979,156,290,3414,86,3946,1920,0,0,1920,4620,231,4017,4113,0.37,59,9323,56,88.24
2020,10,2020-10-10,8980,35,11,111,26,725,873,9888,157,288,3262,90,3797,1878,0,0,1878,4620,475,3869,4213,0.36,57,9163,54,88.16
2020,10,2020-10-11,9160,35,12,111,26,769,919,10114,153,290,3423,103,3968,1882,0,0,1882,4680,407,3988,4263,0.37,58,9345,54,88.07
2020,10,2020-10-12,8740,35,12,120,27,824,983,9758,143,300,3409,84,3936,1883,0,0,1883,4680,503,3567,3939,0.38,60,8934,56,88.04
2020,10,2020-10-13,8470,33,13,428,28,739,1208,9712,146,697,3408,82,4334,1869,0,0,1869,3950,-390,4030,3509,0.42,64,8973,61,88.09
2020,10,2020-10-14,8760,33,13,344,33,705,1095,9888,151,290,3407,81,3928,1821,0,0,1821,2761,-1256,5522,4139,0.37,58,9183,55,88.02
2020,10,2020-10-15,8690,33,13,217,48,742,1020,9744,156,293,3403,76,3928,1817,0,0,1817,2590.19,-1499,5624,3999,0.38,59,9002,56,87.99
2020,10,2020-10-16,8430,34,13,126,78,919,1136,9600,156,296,3409,83,3944,1815,0,0,1815,2764,-1224,5192,3841,0.38,60,8681,56,87.98
2020,10,2020-10-17,8310,35,13,114,84,1270,1481,9826,149,285,3405,87,3926,1804,0,0,1804,3900,282,3940,4096,0.37,58,8556,52,87.93
2020,10,2020-10-18,8200,35,14,116,66,1980,2175,10410,153,286,3406,82,3927,1763,0,0,1763,4620,1723,3122,4721,0.35,55,8430,44,87.79
2020,10,2020-10-19,8090,34,14,149,64,2130,2358,10482,157,297,3456,85,3995,1775,0,0,1775,4420,1630,3207,4713,0.36,55,8352,44,87.66
2020,10,2020-10-20,7790,33,14,363,62,1780,2219,10042,162,295,3439,70,3966,1765,0,0,1765,3510,616,3819,4311,0.37,57,8262,48,87.59
2020,10,2020-10-21,7720,33,14,277,56,1370,1717,9471,161,289,2725,78,3253,1760,0,0,1760,2438,-242,4822,4458,0.31,53,8101,45,87.51
2020,10,2020-10-22,7820,37,14,127,63,1170,1374,9232,149,295,2716,82,3243,1762,0,0,1762,2190.45,-824,5174,4227,0.32,54,8062,48,87.46
2020,10,2020-10-23,7680,39,15,114,71,1180,1380,9099,147,295,2708,71,3221,1726,0,0,1726,2449,-513,4787,4153,0.33,54,7919,48,87.43
2020,10,2020-10-24,7540,34,14,114,66,1510,1705,9279,150,300,2708,79,3237,1722,0,0,1722,3630,978,3462,4319,0.32,53,7769,44,87.38
