Year,Mo,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
2020,10,2020-10-25,8120,32,15,115,58,2180,2368,10521,144,294,2700,75,3214,1727,0,0,1727,3990,2022,3679,5579,0.28,47,8341,33,87.16
2020,10,2020-10-26,8150,31,16,112,63,2200,2391,10572,147,294,1910,51,2402,1731,0,0,1731,3590,2454,4106,6439,0.21,39,8372,23,86.86
2020,10,2020-10-27,7460,30,17,107,60,1820,2003,9494,146,995,1871,34,3046,1727,0,0,1727,3380,1214,3627,4720,0.3,50,7674,38,86.78
2020,10,2020-10-28,7470,30,17,140,57,1420,1634,9134,147,993,1870,51,3062,1717,0,0,1717,2940,396,4080,4355,0.31,52,7714,44,86.76
2020,10,2020-10-29,7640,30,18,364,60,1340,1781,9451,152,692,1867,66,2778,1664,0,0,1664,2429,351,4775,5009,0.27,47,8111,38,86.64
2020,10,2020-10-30,7680,35,18,280,60,1700,2057,9772,146,490,1867,95,2598,1653,0,0,1653,2508,893,4744,5521,0.24,44,8072,32,86.47
2020,10,2020-10-31,7830,37,18,204,60,1930,2212,10078,147,999,1862,110,3118,1662,0,0,1662,3510,1523,3891,5298,0.28,47,8148,35,86.34
2020,11,2020-11-01,7700,37,18,190,60,2270,2538,10274,159,473,1942,96,2669,1681,0,0,1681,4060,2836,3206,5924,0.23,42,8004,26,86.14
2020,11,2020-11-02,7280,37,17,141,60,2020,2238,9555,154,0,1869,98,2122,1686,0,0,1686,3070,2091,3775,5747,0.19,40,7535,24,85.97
2020,11,2020-11-03,7340,41,18,262,57,1570,1907,9288,145,0,1850,106,2101,1686,0,0,1686,2285.2,995,4624,5501,0.2,41,7718,29,85.84
2020,11,2020-11-04,7800,44,18,119,54,1240,1431,9275,146,0,1803,106,2056,1700,0,0,1700,2250.09,520,5118,5519,0.19,40,8035,31,85.72
2020,11,2020-11-05,7730,44,17,118,60,1130,1325,9099,146,488,1801,109,2545,1700,0,0,1700,2356,31,4942,4854,0.25,47,7969,39,85.68
2020,11,2020-11-06,7650,44,16,263,60,1050,1388,9082,148,490,1802,108,2548,1644,0,0,1644,3140,912,4093,4890,0.25,46,8032,39,85.64
2020,11,2020-11-07,8110,44,16,118,60,1030,1224,9378,176,486,1802,104,2568,1688,0,0,1688,3860,1418,3821,5121,0.24,45,8348,39,85.58
2020,11,2020-11-08,8350,44,16,123,59,1030,1228,9622,176,499,970,103,1747,1641,0,0,1641,3690,2104,4245,6234,0.15,35,8592,27,85.39
2020,11,2020-11-09,8040,45,18,283,55,1020,1376,9461,156,493,963,102,1714,1632,0,0,1632,2902,1503,4726,6115,0.15,35,8441,28,85.22
2020,11,2020-11-10,7640,83,18,125,55,996,1195,8918,149,491,961,87,1687,1626,0,0,1626,2421.5,872,4846,5605,0.16,37,7922,29,85.12
2020,11,2020-11-11,7720,110,23,165,57,975,1219,9049,153,1497,962,96,2709,1629,0,0,1629,2460.02,-89,4913,4711,0.27,48,8074,42,85.14
2020,11,2020-11-12,7800,111,23,194,64,955,1235,9147,139,1493,965,96,2694,1629,0,0,1629,2664,147,4791,4824,0.27,47,8192,41,85.14
2020,11,2020-11-13,7940,113,23,199,60,932,1214,9267,123,1486,1826,91,3526,1624,229,0,1395,3790,571,3872,4345,0.35,53,8335,48,85.2
2020,11,2020-11-14,8140,114,25,200,55,920,1200,9454,107,992,1839,82,3021,1639,229,0,1410,4490,1753,3369,5023,0.3,47,8534,41,85.17
2020,11,2020-11-15,8150,116,31,198,57,930,1216,9482,102,988,1838,90,3017,1694,229,0,1464,4420,1668,3436,5001,0.3,47,8552,42,85.15
2020,11,2020-11-16,8090,100,36,201,62,928,1227,9417,85,992,1838,90,3005,1692,229,0,1463,3480,752,4300,4949,0.3,47,8489,42,85.13
2020,11,2020-11-17,8150,71,33,206,60,892,1191,9412,77,1493,1847,89,3505,1694,916,0,778,2672.3,-148,5330,5128,0.35,46,8520,40,85.09
2020,11,2020-11-18,9070,75,39,224,57,891,1211,10356,74,1996,1844,84,3998,1694,687,0,1006,2710,-732,6153,5351,0.37,48,9465,43,85.03
2020,11,2020-11-19,9650,79,70,201,60,887,1218,10946,80,1991,1837,85,3992,1694,687,0,1008,2750,-680,6697,5947,0.35,46,10060,41,84.9
2020,11,2020-11-20,9520,82,85,205,60,863,1212,10814,84,1991,1835,79,3989,1746,687,0,1058,2680,-784,6625,5767,0.35,47,9951,42,84.8
2020,11,2020-11-21,9420,84,57,201,60,881,1198,10703,79,1995,1833,80,3987,1745,687,0,1058,2610,-866,6598,5658,0.36,47,9822,42,84.71
2020,11,2020-11-22,9310,86,43,200,60,919,1221,10617,75,2493,1831,75,4474,1746,0,0,1746,2580,-1807,6327,4398,0.41,59,9698,55,84.8
2020,11,2020-11-23,9150,87,36,203,60,916,1214,10452,68,2995,971,71,4104,1744,0,0,1744,2590.06,-1433,6159,4604,0.38,56,9536,52,84.85
2020,11,2020-11-24,9060,88,33,204,57,885,1179,10326,71,2994,979,80,4124,1744,0,0,1744,2815,-1265,5844,4457,0.38,57,9441,53,84.91
2020,11,2020-11-25,9470,86,32,207,53,883,1175,10730,73,2995,989,91,4148,1796,0,0,1796,4080,-60,4973,4787,0.37,55,9847,51,84.93
2020,11,2020-11-26,9600,78,30,199,51,911,1191,10869,73,2995,987,75,4130,1794,0,0,1794,4700,595,4476,4945,0.37,55,9958,50,84.93
2020,11,2020-11-27,9110,78,29,204,39,933,1206,10393,61,2994,987,85,4127,1846,0,0,1846,4740,619,3931,4420,0.38,57,9460,53,85
2020,11,2020-11-28,9050,77,29,205,26,942,1202,10329,90,2989,980,80,4139,1894,0,0,1894,4880,712,3717,4296,0.38,58,9387,54,85.08
2020,11,2020-11-29,8860,76,30,206,26,935,1197,10133,97,2996,970,85,4148,1896,0,0,1896,4810,627,3595,4089,0.39,60,9198,56,85.19
2020,11,2020-11-30,8730,75,30,209,26,908,1173,9978,109,2999,969,92,4169,1945,0,0,1945,4570,309,3691,3864,0.4,61,9070,57,85.33
2020,12,2020-12-01,8580,76,30,205,26,854,1115,9771,112,2492,968,88,3661,1994,0,0,1994,3480,-362,4617,4116,0.35,58,8917,54,85.42
2020,12,2020-12-02,8580,79,29,204,26,823,1082,9741,118,1992,970,79,3158,1995,0,0,1995,2594.2,-778,5506,4588,0.3,53,8918,49,85.44
2020,12,2020-12-03,8600,80,28,208,26,801,1064,9744,125,1987,970,77,3158,1995,0,0,1995,2530,-861,5592,4591,0.3,53,8943,49,85.45
2020,12,2020-12-04,8470,81,29,208,27,796,1060,9611,120,1787,834,89,2830,2046,0,0,2046,2470,-630,5508,4734,0.27,51,8815,46,85.45
2020,12,2020-12-05,8370,71,29,205,26,815,1075,9516,99,1597,834,82,2611,2094,0,0,2094,2410,-487,5444,4810,0.25,49,8701,45,85.43
2020,12,2020-12-06,8400,64,28,202,27,832,1089,9553,99,1396,833,87,2414,2094,0,0,2094,2400,-286,5478,5045,0.23,47,8721,42,85.39
2020,12,2020-12-07,8280,62,29,209,26,822,1086,9429,93,1090,824,84,2090,2140,0,0,2140,2350,-45,5393,5198,0.2,45,8607,40,85.33
2020,12,2020-12-08,7920,62,29,202,26,784,1042,9024,86,799,832,90,1807,2144,0,0,2144,2340,181,5042,5073,0.18,44,8240,38,85.28
2020,12,2020-12-09,7910,62,29,220,25,779,1053,9025,85,786,827,87,1786,2145,0,0,2145,2430,303,4941,5094,0.18,44,8246,38,85.24
2020,12,2020-12-10,7840,62,29,261,23,759,1071,8973,68,797,829,89,1784,2195,0,0,2195,2470,331,4817,4994,0.18,44,8214,39,85.21
2020,12,2020-12-11,8020,62,29,201,22,768,1020,9102,42,799,825,90,1755,2194,1834,0,360,2500,1530,5481,6986,0.18,23,8334,16,84.97
2020,12,2020-12-12,8130,62,33,214,23,816,1085,9277,49,797,830,90,1766,2196,2292,0,-96,2480,1862,5738,7607,0.17,18,8461,10,84.69
2020,12,2020-12-13,8250,61,38,244,23,924,1229,9540,44,794,830,92,1759,2194,7336,0,-5142,2500,5311,7251,12922,0.17,-35,9940,-30,84.07
2020,12,2020-12-14,8990,61,52,199,22,1010,1283,10334,36,798,831,78,1743,2196,7336,0,-5140,2660,5542,7830,13732,0.16,-33,10750,-28,83.46
2020,12,2020-12-15,9380,62,71,200,22,976,1269,10711,38,794,834,68,1733,2194,7336,0,-5142,2730,5608,8152,14119,0.15,-32,11137,-27,82.86
2020,12,2020-12-16,9340,60,60,200,24,937,1220,10621,37,797,838,59,1730,2196,5502,0,-3306,2730,4369,7596,12196,0.15,-15,10508,-16,82.38
2020,12,2020-12-17,9580,66,51,207,24,942,1224,10870,39,796,835,69,1738,2196,6649,0,-4452,2760,5140,8132,13584,0.15,-25,11002,-23,81.87
2020,12,2020-12-18,10100,64,54,196,25,990,1265,11429,37,997,837,66,1937,2146,1605,0,541,2750,1726,7262,8951,0.16,22,10439,14,81.65
2020,12,2020-12-19,10200,62,64,201,25,1000,1290,11552,37,994,822,58,1911,2144,1605,0,538,2710,1738,7401,9102,0.16,21,10552,14,81.43
2020,12,2020-12-20,9960,62,51,197,24,1000,1272,11294,37,990,827,68,1922,2148,1605,0,544,2640,1637,7230,8829,0.16,22,10294,14,81.24
2020,12,2020-12-21,9690,62,44,199,24,1010,1277,11029,46,1498,829,67,2441,2094,1834,0,260,2590,1257,7089,8328,0.21,24,10019,17,81.1
2020,12,2020-12-22,9570,57,41,192,24,1000,1257,10884,55,1995,833,70,2953,2094,229,0,1866,2580,-329,6525,6065,0.26,44,9884,39,81.18
2020,12,2020-12-23,9370,56,39,194,25,1000,1258,10684,49,2995,830,73,3947,2047,229,0,1818,2550,-1321,6367,4918,0.36,54,9684,49,81.38
2020,12,2020-12-24,8820,58,37,187,23,1010,1257,10135,49,3499,826,62,4436,2045,229,0,1816,2560,-1799,5809,3883,0.43,62,9125,57,81.73
2020,12,2020-12-25,8250,58,37,191,23,1020,1271,9578,42,3494,831,50,4417,1996,229,0,1768,2520,-1776,5293,3393,0.45,65,8558,60,82.15
2020,12,2020-12-26,8290,58,42,199,28,1030,1299,9646,46,3494,826,53,4419,1996,0,0,1996,2530,-1888,5259,3231,0.45,67,8616,62,82.57
2020,12,2020-12-27,8380,60,55,187,32,1040,1314,9753,47,2998,831,39,3915,1946,0,0,1946,2540,-1326,5355,3892,0.39,60,8713,55,82.85
2020,12,2020-12-28,8530,60,66,192,30,1030,1318,9908,45,2993,838,42,3918,1944,0,0,1944,2570,-1295,5476,4045,0.39,59,8878,54,83.09
2020,12,2020-12-29,8910,60,56,187,28,1010,1281,10250,58,1991,834,52,2937,1896,0,0,1896,2590,-298,5849,5418,0.28,47,9240,41,83.13
2020,12,2020-12-30,8760,59,51,187,28,1010,1276,10095,58,1496,836,54,2445,1846,229,0,1617,2530,310,5836,6033,0.23,40,9085,34,83.09
2020,12,2020-12-31,8690,58,47,194,28,1010,1279,10026,47,1490,842,51,2430,1796,458,0,1338,2510,489,5863,6259,0.23,38,9016,31,83.04
2021,1,2021-01-01,8520,58,47,191,28,1010,1275,9853,53,1492,835,52,2432,1696,458,0,1238,2450,489,5781,6183,0.24,37,8843,30,82.99
2021,1,2021-01-02,8350,58,48,188,28,1000,1264,9672,48,1492,834,54,2428,1646,458,0,1188,2440,503,5636,6056,0.24,37,8672,30,82.96
2021,1,2021-01-03,8070,60,45,186,28,996,1254,9385,46,1490,836,45,2418,1595,458,0,1137,2410,508,5402,5830,0.25,38,8389,30,82.96
2021,1,2021-01-04,8000,61,47,199,27,991,1264,9325,45,1992,840,49,2927,1545,687,0,858,2390,170,5431,5540,0.3,41,8334,34,82.99
2021,1,2021-01-05,8600,62,64,184,27,980,1254,9916,37,1998,831,43,2910,1495,458,0,1037,2460,131,5912,5970,0.28,40,8936,33,82.97
2021,1,2021-01-06,8660,65,95,189,27,971,1282,10007,38,2486,830,41,3395,1446,458,0,988,2500,-255,5948,5624,0.33,44,9036,38,82.99
2021,1,2021-01-07,8990,67,76,189,26,956,1248,10304,32,2750,827,28,3637,1396,458,0,938,2590,-410,6204,5729,0.35,44,9348,39,83
2021,1,2021-01-08,9300,64,62,191,27,942,1222,10586,45,3468,826,65,4404,1396,458,0,938,2670,-1122,6432,5244,0.41,50,9644,46,83.06
2021,1,2021-01-09,9140,64,54,187,28,1030,1299,10503,32,3490,826,59,4407,1346,0,0,1346,2670,-1313,6157,4750,0.41,55,9473,50,83.19
2021,1,2021-01-10,8830,63,50,188,28,1030,1296,10189,34,2795,828,64,3720,1296,0,0,1296,2640,-627,5890,5173,0.36,49,9159,44,83.25
2021,1,2021-01-11,8720,62,48,187,28,964,1227,10009,31,2788,831,62,3712,1292,0,0,1292,2620,-706,5800,5004,0.36,50,9045,45,83.33
2021,1,2021-01-12,8780,58,45,187,28,918,1178,10016,26,1494,835,62,2417,1246,0,0,1246,2620,571,5869,6354,0.23,37,9098,30,83.25
2021,1,2021-01-13,8900,60,43,184,27,900,1154,10114,29,1495,832,60,2416,1246,0,0,1246,2630,558,5981,6451,0.23,36,9214,30,83.17
2021,1,2021-01-14,8820,63,42,187,27,886,1142,10025,43,1493,832,68,2436,1200,0,0,1200,2640,566,5907,6389,0.23,36,9139,30,83.1
2021,1,2021-01-15,8480,65,41,184,27,872,1124,9669,39,1492,835,61,2427,1196,0,0,1196,2580,500,5630,6046,0.24,37,8797,31,83.06
2021,1,2021-01-16,8420,67,41,183,27,861,1112,9599,37,1494,834,67,2432,1146,0,0,1146,2570,505,5596,6021,0.24,37,8738,31,83.03
2021,1,2021-01-17,8720,68,41,183,27,869,1120,9908,29,1492,834,64,2420,1148,0,0,1148,2570,524,5897,6340,0.23,36,9039,30,82.97
2021,1,2021-01-18,9110,67,40,182,27,880,1129,10306,41,1493,829,63,2427,1096,0,0,1096,2440,430,6430,6784,0.22,34,9426,28,82.87
2021,1,2021-01-19,8670,64,40,181,28,898,1146,9880,37,1498,830,64,2430,1094,0,0,1094,2280,285,6147,6356,0.24,36,8982,29,82.82
2021,1,2021-01-20,7840,63,39,180,27,892,1139,9042,51,1499,1647,62,3259,1093,0,0,1093,2280,-551,5317,4690,0.35,48,8150,42,82.96
2021,1,2021-01-21,7620,63,38,195,27,873,1133,8816,60,1494,1658,70,3282,1040,0,0,1040,2290,-534,5102,4495,0.36,49,7943,43,83.13
2021,1,2021-01-22,7620,61,39,213,28,865,1144,8825,60,1498,1657,71,3286,1041,687,0,354,2300,-72,5282,5185,0.36,41,7960,35,83.19
2021,1,2021-01-23,7740,64,42,196,27,876,1142,8945,60,1495,1659,58,3271,998,687,0,310,2310,-21,5407,5364,0.35,40,8069,34,83.23
2021,1,2021-01-24,7530,69,44,198,27,881,1150,8749,60,1498,1660,44,3263,994,1374,0,-380,2270,404,5435,5866,0.36,33,7868,25,83.21
2021,1,2021-01-25,7970,67,55,201,28,895,1179,9216,60,1494,1645,40,3238,998,1374,0,-376,2260,445,5883,6354,0.34,31,8321,24,83.14
2021,1,2021-01-26,7710,62,67,198,29,904,1198,8970,60,1497,1656,43,3256,995,1603,0,-608,2180,517,5762,6322,0.35,30,8066,22,83.08
2021,1,2021-01-27,8770,76,68,279,27,1020,1394,10240,60,1496,1667,29,3251,946,8024,0,-7078,2490,5233,8338,14066,0.31,-37,10638,-32,82.5
2021,1,2021-01-28,10700,80,1310,282,29,1480,3101,13881,60,1493,1665,34,3252,946,15361,0,-14414,2930,12148,11886,25043,0.23,-80,16683,-50,81.58
2021,1,2021-01-29,12600,85,1670,341,35,2030,4076,16762,60,1490,1665,29,3243,946,14903,0,-13956,3130,13035,13463,27475,0.19,-64,19380,-42,80.65
2021,1,2021-01-30,15200,100,550,235,35,2340,3160,18460,41,1497,1665,28,3231,946,14903,0,-13956,3440,12441,15768,29186,0.17,-58,21091,-38,79.74
2021,1,2021-01-31,16400,199,261,314,30,2450,3055,19654,27,1495,1668,28,3218,898,14674,0,-13776,3640,12431,16816,30212,0.16,-54,22222,-36,78.85
2021,2,2021-02-01,15300,213,176,452,29,2370,3027,18540,24,1390,1669,36,3119,896,7566,0,-6670,3530,7774,13851,22092,0.16,-19,18223,-21,78.21
2021,2,2021-02-02,13700,194,324,459,30,2310,3123,17017,34,1493,1666,42,3234,896,2063,0,-1166,3270,3917,10951,14949,0.19,12,14707,-2,77.86
2021,2,2021-02-03,13000,168,329,325,29,2230,2913,16081,25,1990,1660,35,3710,895,1834,0,-939,3110,2923,10321,13310,0.23,17,13851,4,77.61
2021,2,2021-02-04,13700,141,273,257,27,2020,2577,16418,30,1998,1880,30,3938,896,1834,0,-938,3240,2489,10864,13418,0.24,18,14398,7,77.36
2021,2,2021-02-05,14900,120,187,243,27,1830,2287,17308,27,1994,1879,29,3928,896,1834,0,-938,3440,2409,11843,14317,0.22,17,15478,7,77.09
2021,2,2021-02-06,14400,100,148,236,26,1680,2090,16591,30,1987,1881,36,3934,896,1834,0,-938,3380,2146,11383,13594,0.23,18,14911,9,76.86
2021,2,2021-02-07,12600,84,127,214,26,1570,1938,14622,33,1994,1888,37,3952,896,0,0,896,3140,543,9293,9773,0.27,33,13052,25,76.86
2021,2,2021-02-08,11300,66,115,203,27,1480,1825,13191,32,1996,1884,32,3944,897,0,0,897,2990,288,8125,8350,0.29,37,11711,29,76.96
2021,2,2021-02-09,10900,61,107,191,26,1410,1734,12695,24,3689,1879,29,5620,896,0,0,896,2970,-1498,7740,6179,0.44,51,11285,45,77.25
2021,2,2021-02-10,10800,62,102,192,27,1350,1671,12533,33,1994,1882,28,3938,846,0,0,846,2970,153,7656,7750,0.31,38,11183,31,77.38
2021,2,2021-02-11,10900,64,105,197,26,1340,1668,12633,40,2093,1880,42,4055,846,2293,0,-1447,2980,1534,8389,10025,0.31,21,11293,11,77.33
2021,2,2021-02-12,11200,69,357,208,27,1360,1952,13221,42,2393,1883,34,4351,847,2293,0,-1446,3030,1570,8644,10315,0.32,22,11861,13,77.27
2021,2,2021-02-13,11300,64,359,196,28,1350,1933,13297,43,2392,1881,27,4343,847,2293,0,-1446,2980,1510,8789,10400,0.32,22,11947,13,77.21
2021,2,2021-02-14,12000,54,336,192,28,1330,1886,13940,49,2398,1876,41,4365,848,2293,0,-1445,3020,1480,9439,11020,0.31,21,12610,13,77.11
2021,2,2021-02-15,12800,67,309,189,29,1380,1907,14773,49,2387,1872,28,4336,845,2293,0,-1448,3195.9,1708,10076,11886,0.29,20,13393,11,76.97
2021,2,2021-02-16,13400,73,397,188,28,1410,2023,15496,37,3377,2599,33,6046,844,0,0,844,3437,-1135,9799,8605,0.39,44,14086,39,77.05
2021,2,2021-02-17,13400,57,331,187,28,1380,1926,15383,35,3039,2597,37,5709,846,0,0,846,3299,-1034,9921,8828,0.37,43,14003,37,77.1
2021,2,2021-02-18,13100,55,248,186,28,1350,1812,14967,83,3398,2577,38,6096,845,0,0,845,3069.4,-1764,9849,8026,0.4,46,13617,41,77.22
2021,2,2021-02-19,12400,66,206,186,28,1320,1740,14205,79,2698,3330,26,6133,846,0,0,846,2930,-2013,9299,7226,0.42,49,12885,44,77.39
2021,2,2021-02-20,11600,66,201,185,28,1350,1764,13430,60,2694,3319,28,6101,845,0,0,845,2760,-2127,8670,6484,0.45,52,12080,46,77.63
2021,2,2021-02-21,10900,63,215,183,28,1600,2026,12988,60,2493,3300,32,5885,894,0,0,894,2660,-1780,8053,6210,0.45,52,11388,45,77.88
2021,2,2021-02-22,10200,60,186,184,28,1570,1968,12229,60,1994,2549,38,4641,898,0,0,898,2630,-626,7379,6690,0.37,45,10659,37,78.06
2021,2,2021-02-23,10100,52,168,182,33,1390,1773,11925,19,1197,2553,47,3816,886,0,0,886,2620,1,7284,7222,0.31,39,10535,31,78.19
2021,2,2021-02-24,10100,46,160,179,40,1240,1619,11765,0,1295,2567,33,3894,865,0,0,865,2660,-177,7243,7006,0.33,40,10525,33,78.33
2021,2,2021-02-25,9390,43,158,180,36,1140,1514,10948,4,1685,1634,39,3362,882,0,0,882,2610,189,6576,6703,0.3,39,9808,32,78.5
2021,2,2021-02-26,9110,43,151,178,29,1050,1408,10561,91,2089,975,42,3197,887,0,0,887,2640,274,6265,6477,0.29,39,9511,32,78.67
2021,2,2021-02-27,9130,43,143,153,29,949,1274,10447,90,1186,975,31,2282,889,0,0,889,2620,1034,6304,7276,0.21,30,9498,23,78.76
2021,2,2021-02-28,8570,44,137,153,26,907,1223,9837,90,792,972,39,1894,885,0,0,885,2530,1283,5836,7057,0.18,28,8930,21,78.87
2021,3,2021-03-01,8110,40,130,127,22,968,1247,9397,116,889,971,32,2009,935,0,0,935,2500,1131,5388,6454,0.2,31,8429,23,79.02
2021,3,2021-03-02,7920,42,125,125,23,1040,1313,9275,135,293,815,38,1282,976,0,0,976,2450,1846,5239,7016,0.12,24,8235,15,79.12
2021,3,2021-03-03,7760,46,122,121,23,905,1171,8977,149,295,818,31,1294,970,0,0,970,2450,1696,5084,6713,0.12,25,8072,17,79.24
2021,3,2021-03-04,7940,47,120,121,23,866,1130,9116,141,268,412,27,848,970,0,0,970,2400,2051,5315,7298,0.07,20,8250,12,79.29
2021,3,2021-03-05,7600,47,116,116,23,929,1184,8831,148,280,400,14,842,1018,0,0,1018,2300,1980,5062,6971,0.07,21,7902,12,79.38
2021,3,2021-03-06,7690,47,121,113,23,998,1255,8992,151,274,429,13,866,1015,458,0,557,2290,2317,5291,7569,0.07,16,7994,5,79.4
2021,3,2021-03-07,7890,49,143,112,31,1050,1336,9275,153,471,405,4,1034,1008,458,0,550,2360,2304,5425,7691,0.09,17,8225,6,79.42
2021,3,2021-03-08,7810,52,137,112,33,1080,1362,9224,148,592,822,1,1564,1072,458,0,614,2410,1809,5280,7046,0.15,24,8144,13,79.49
2021,3,2021-03-09,7920,50,134,112,29,1080,1355,9325,135,495,819,0,1449,1056,1375,0,-319,2410,2524,5650,8196,0.14,12,8245,1,79.46
2021,3,2021-03-10,8230,53,150,115,32,1090,1387,9670,133,291,826,0,1250,1042,2062,0,-1020,2480,3280,6088,9439,0.11,2,9114,-4,79.34
2021,3,2021-03-11,9630,61,167,120,41,1110,1438,11129,126,294,827,0,1247,1109,1604,0,-495,2720,3233,7109,10377,0.1,7,10482,1,79.16
2021,3,2021-03-12,10700,52,143,120,43,1080,1386,12137,109,149,413,0,672,1109,1604,0,-495,2890,3925,8000,11960,0.04,1,11673,-2,78.9
2021,3,2021-03-13,10900,50,130,117,44,1070,1361,12311,111,148,398,0,658,1149,1604,0,-455,2910,3909,8167,12108,0.04,2,11844,-2,78.65
2021,3,2021-03-14,10600,51,124,116,44,1110,1394,12044,108,151,372,0,631,1212,687,0,525,2860,3282,7644,10889,0.04,10,11244,3,78.48
2021,3,2021-03-15,10000,53,165,117,44,1140,1466,11518,110,1370,406,0,1885,1215,0,0,1215,2770,1561,6942,8418,0.15,27,10378,19,78.49
2021,3,2021-03-16,9720,54,222,118,44,1100,1484,11258,113,2091,814,0,3019,1250,0,0,1250,2730,383,6694,6989,0.25,38,10158,31,78.62
2021,3,2021-03-17,9990,55,180,117,43,1040,1380,11424,116,1897,896,0,2909,1303,0,0,1303,2760,383,6920,7212,0.24,37,10384,31,78.72
2021,3,2021-03-18,10900,54,178,117,40,1030,1365,12319,117,1787,903,0,2807,1305,1834,0,-529,2830,1732,8272,10041,0.21,18,11289,11,78.6
2021,3,2021-03-19,11000,62,634,116,38,1020,1808,12870,119,997,812,0,1928,1380,2063,0,-683,2740,3064,8513,11626,0.14,10,11850,2,78.39
